id,title,authors,rating,readOnDate,queuedOnDate,wishedOnDate,isbn10,isbn13,cover,subtitle,description,pageCount,publishedDate,publisher,sourceUrl,createdAt
"ilcqvmw39paj9cvhxbj35d4u","A History of Western Philosophy, and Its Connection with Political and Social Circumstances from the Earliest Times to the Present Day","Bertrand Russell","","","2020-02-29","",,"9780671201586","https://blackwells.co.uk/jacket/500x500/9780671201586.webp",,"This book offers the remarkable opportunity to examine the great traditions that have shaped western civilization from the point of view of one of the greatest of modern philosophers.",895,"1986-01-01","Simon & Schuster","https://blackwells.co.uk/bookshop/product/A-History-of-Western-Philosophy-by-Bertrand-Russell/9780671201586","2023-08-13 19:36:50"
"qd65zd40niqix9m6ldqomgtq","Factfulness","Hans Rosling, Ola Rosling, Anna Rosling Rönnlund","","","2019-08-23","","147363749X","9781473637498","https://m.media-amazon.com/images/I/61R9cr6hoPL.jpg","The Ten Reason We're Wrong About the World - and Why Things Are Better Than You Think","*the #1 Sunday Times bestseller * instant New York Times bestseller * an Observer 'best brainy book of the decade' * #1 Wall Street Journal bestseller * Irish Times bestseller * Audio bestseller * Guardian bestseller * * Endorsed by Barack Obama, Bill and Melinda Gates and Tom Harford, and Longlisted for the 2018 Financial Times/McKinsey Business Book of the Year* The international bestseller by legendary statisticians Hans, Ola and Anna Rosling: inspiring and revelatory, filled with lively anecdotes and moving stories, Factfulness is an urgent and essential book that will change the way you see the world, and make you realise things are better than you thought.",352,"2019-06-27","Sceptre","https://www.amazon.co.uk/Factfulness-Reasons-Wrong-Things-Better/dp/147363749X/ref=sr_1_1?crid=2VASNOX9E7UV0&keywords=factfulness+by+hans+rosling&qid=1691884959&s=books&sprefix=Factfulness%2Cstripbooks%2C113&sr=1-1","2023-08-13 19:36:56"
"dtqw7jnbn4b5kay62lnmdiw0","Understanding Comics","Scott McCloud","","","","2023-07-21","006097625X","9780060976255","https://m.media-amazon.com/images/I/71vIFzQbtbL.jpg",,"Praised throughout the cartoon industry by such luminaries as Art Spiegelman, Matt Groening, and Will Eisner, this innovative comic book provides a detailed look at the history, meaning, and art of comics and cartooning.",224,"2001-05-10","WmMorrowPB","https://www.amazon.co.uk/Understanding-Comics-Invisible-Scott-McCloud/dp/006097625X/ref=sr_1_1?crid=25KMBD7458TJ2&keywords=Understanding+Comics&qid=1691885222&s=books&sprefix=understanding+comics%2Cstripbooks%2C79&sr=1-1","2023-08-13 19:37:01"
"a4kfpoebymr2kfbt5w3gwy4t","Born Standing Up","Steve Martin","","","","2023-08-02","1847391486","9781847391483","https://m.media-amazon.com/images/I/51uE7ekXM3L.jpg","A Comic's Life","Legendary comedian and actor Steve Martin's memoir of his early years in showbusiness.",224,"2008-07-07","Simon & Schuster UK","https://www.amazon.co.uk/Born-Standing-Up-Comics-Life/dp/1847391486/ref=sr_1_1?crid=2Z69IBLO7Z5CZ&keywords=Born+Standing+Up&qid=1691885267&s=books&sprefix=born+standing+up%2Cstripbooks%2C51&sr=1-1","2023-08-13 19:37:07"
"iwvkjhq97pfsm245cill8mn2","Do What Thou Wilt","Lawrence Sutin","","","","2023-06-15","9780312288976","9780312288976","https://m.media-amazon.com/images/I/71mSxOTPzTL.jpg","A Life of Aleister Crowley","Aleister Crowley was a blustery coward, an arrogant, misogynistic racist with fascist leanings, and a callous user, as often threatened by his sexuality as he claimed to be liberated by it. But he was also a groundbreaking poet and an iconoclastic visionary whose literary and cultural legacies extend far beyond the limits of his reputation. This controversial individual, a frightening mixture of egomania and self-loathing, has inspired passionate--but seldom fair--assesments by historians. Sutin, by treating Crowley as a cultural phenomenon, and not simply a sorcerer or a charlatan, convinces skeptic readers that the self-styled “Beast“ remains a fascinating study in eccentricity.",502,"2002-04-01",,"https://www.amazon.co.uk/DO-WHAT-THOU-WILT-Aleister/dp/0312288972/ref=sr_1_1?crid=IBP6RRQMF6UX&keywords=Do+What+Thou+Wilt&qid=1691885315&s=books&sprefix=do+what+thou+wilt%2Cstripbooks%2C53&sr=1-1","2023-08-13 19:37:12"
"bckqm50be69nwf6mzkm2snhe","The Story of Philosophy","Will Durant","","","","2023-03-30","0671739166","9780671739164","https://m.media-amazon.com/images/I/71SHr0oIiyL.jpg",,"Examines the history of speculative thought by focusing on such dominant personalities as Plato, Bacon, Spinoza, Kant, Schopenhauer, and Nietzsche",528,"1991-01-01","Pocket Books","https://www.amazon.co.uk/Story-Philosophy-Will-Durant/dp/0671739166/ref=sr_1_1?crid=1ICQHGSGU7KXX&keywords=The+Story+of+Philosophy%3A+The+Lives+and+Opinions+of+the+Greater+Philosophers&qid=1691885374&s=books&sprefix=the+story+of+philosophy+the+lives+and+opinions+of+the+greater+philosophers%2Cstripbooks%2C58&sr=1-1","2023-08-13 19:37:17"
"rdpfj27cnbcogmmroanbstd0","The Beatles","Hunter Davies","","","","2023-05-22","0091930510","9780091930516","https://m.media-amazon.com/images/I/81mpivG6ZQL.jpg",,"This 40th anniversary edition contains new material which has never been revealed before, from the author's archives and from the Beatles themselves, that will bring new insights to their legend.",544,"2009-05-07","Ebury Press","https://www.amazon.co.uk/Beatles-Authorised-Biography-Hunter-Davies/dp/0091930510/ref=sr_1_2?crid=3F5NBRED6870P&keywords=The+Beatles%3A+The+Authorised+Biography&qid=1691885405&s=books&sprefix=the+beatles+the+authorised+biography%2Cstripbooks%2C58&sr=1-2","2023-08-13 19:37:22"
"x4n5xg472rtog977azhg9bq6","Pure Invention","Matt Alt","","","","2023-03-01","1472131851","9781472131850","https://m.media-amazon.com/images/I/81juuGiaGCL.jpg","How Japan's Pop Culture Conquered the World",,368,"2021-07-08","Constable","https://www.amazon.co.uk/Pure-Invention-Japans-Culture-Conquered/dp/1472131851/ref=sr_1_1?crid=DXHT1MQE2R4S&keywords=pure+invention+how+japan+made+the+modern+world&qid=1691885451&s=books&sprefix=Pure+Invention%3A+How+Japan+Made+the+Modern+World%2Cstripbooks%2C58&sr=1-1","2023-08-13 19:37:28"
"f8ojpdhwcthxbzcmok5ja45d","Leonardo Da Vinci","Walter Isaacson","","","","2022-09-08","1471166783","9781471166785","https://m.media-amazon.com/images/I/81X6Fh2KL9L.jpg","The Biography","The author of the acclaimed bestsellers Benjamin Franklin, Einstein, and Steve Jobs delivers an engrossing biography of Leonardo da Vinci, the world's most creative genius.",624,"2018-10-18","Simon & Schuster UK","https://www.amazon.co.uk/Leonardo-Vinci-Walter-Isaacson/dp/1471166783/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1691885592&sr=1-1","2023-08-13 19:37:34"
"y7ggnihw74x624o1strxqin7","Oscar Wars","Michael Schulman","","","","2023-01-13","0062859013","9780062859013","https://m.media-amazon.com/images/I/91474Nj+cdL.jpg","A History of Hollywood in Gold, Sweat, and Tears","The author of the New York Times bestseller Her Again: Becoming Meryl Streep returns with a lively history of the Academy Awards, focusing on the brutal battles, the starry rivalries, and the colorful behind-the-scenes drama. America does not have royalty. It has the Academy Awards. For nine decades, perfectly coiffed starlets, debonair leading men, and producers with gold in their eyes have chased the elusive Oscar. What began as an industry banquet in 1929 has now exploded into a hallowed ceremony, complete with red carpets, envelopes, and little gold men. But don't be fooled by the pomp: the Oscars, more than anything, are a battlefield, where the history of Hollywood--and of America itself--unfolds in dramas large and small. The road to the Oscars may be golden, but it's paved in blood, sweat, and broken hearts. In Oscar Wars, Michael Schulman chronicles the remarkable, sprawling history of the Academy Awards and the personal dramas--some iconic, others never-before-revealed--that have played out on the stage and off camera. Unlike other books on the subject, each chapter takes a deep dive into a particular year, conflict, or even category that tells a larger story of cultural change, from Louis B. Mayer to Moonlight. Schulman examines how the red carpet runs through contested turf, and the victors aren't always as clear as the names drawn from envelopes. Caught in the crossfire are people: their thwarted ambitions, their artistic epiphanies, their messy collaborations, their dreams fulfilled or dashed. Featuring a star-studded cast of some of the most powerful Hollywood players of today and yesterday, as well as outsiders who stormed the palace gates, this captivating history is a collection of revelatory tales, each representing a turning point for the Academy, for the movies, or for the culture at large.",608,"2023-04-27","Harper","https://www.amazon.co.uk/Oscar-Wars-History-Hollywood-Sweat/dp/0062859013/ref=tmm_hrd_swatch_0?_encoding=UTF8&qid=1691885633&sr=1-1","2023-08-13 19:37:39"
